"pi_key","primary.subject","herfindahl","weighted.primary.subject","weighted.herfindahl"
"nih_1887730","BIOC",0.617730333639425,"AGRI",0.44327482075316
"nih_1887731","IMMU",0.486928104575163,"IMMU",0.67600134224534
"nih_1887735","BIOC",0.680072499669705,"BIOC",0.227405037423387
"nih_1887738","IMMU",0.41509196271101,"IMMU",0.576901594364156
"nih_1887745","BIOC",0.309775762156715,"MULT",0.265994731962886
"nih_1887760","BIOC",0.477810650887574,"MULT",0.323680023955841
"nih_1887763","BIOC",0.201200111558864,"IMMU",0.145260436183525
"nih_1887786","BIOC",0.377653856490191,"IMMU",0.42793149754873
"nih_1887802","BIOC",0.332204319285173,"AGRI",0.197753221666238
"nih_1887804","BIOC",0.471010802469136,"MEDI",0.175103906304842
"nih_1887805","BIOC",0.554642445213379,"MULT",0.212199130768187
"nih_1887823","BIOC",0.315233333333333,"MULT",0.273962612588121
"nih_1887827","BIOC",0.47702441858286,"AGRI",0.224466120138616
"nih_1887845","BIOC",0.829380975271057,"BIOC",0.386807711623348
"nih_1887862","BIOC",0.293103448275862,"IMMU",0.307971037540247
"nih_1887937","BIOC",0.350830444444444,"AGRI",0.16805310477875
"nih_1887989","NEUR",0.285455723212925,"NEUR",0.593159268744453
"nih_1888135","BIOC",0.755190311418685,"BIOC",0.30170008879563
"nih_1888209","BIOC",0.475843398583923,"MULT",0.277559436571203
"nih_1888259","BIOC",0.573863636363636,"AGRI",0.334258485443554
"nih_1888597","BIOC",0.529382310527159,"MULT",0.222556861236517
"nih_1888635","BIOC",0.700443786982249,"NEUR",0.380795455914507
"nih_1888671","BIOC",0.424437905537951,"NEUR",0.341763476153218
"nih_1888698","MEDI",0.308320473251029,"MEDI",0.226853890900776
"nih_1888832","IMMU",0.390269338348765,"IMMU",0.475275557560994
"nih_1888968","IMMU",0.548828125,"IMMU",0.863899501035186
"nih_1889158","NEUR",0.234895833333333,"NEUR",0.420627350956785
"nih_1889274","MEDI",0.712333526963873,"MEDI",0.614859647142973
"nih_1889808","BIOC",0.649809284255028,"BIOC",0.181235302918113
"nih_1889809","BIOC",0.458514995375875,"AGRI",0.300429593443262
"nih_1889950","BIOC",0.519768133174792,"AGRI",0.209683565988982
"nih_1890226","BIOC",0.2611419053218,"IMMU",0.266463767105358
"nih_1890742","BIOC",0.423811983471074,"CENG",0.182696617122329
"nih_1890744","BIOC",0.266117969821674,"NEUR",0.25675857861687
"nih_1890767","BIOC",0.322847222222222,"IMMU",0.316210167106245
"nih_1890979","BIOC",0.235442176870748,"NEUR",0.371302785649143
"nih_1891111","BIOC",0.414073673457124,"NEUR",0.1539157306542
"nih_1891116","BIOC",0.44026622994877,"AGRI",0.177333115801902
"nih_1891230","BIOC",0.344490612496153,"MEDI",0.224650498984442
"nih_1891234","BIOC",0.434786358153216,"BIOC",0.112829189409231
"nih_1891259","BIOC",0.412061076896242,"CHEM",0.196158905584234
"nih_1891266","CHEM",0.451393055555556,"CHEM",0.436512130254197
"nih_1891526","BIOC",0.365740740740741,"PHAR",0.498547287008049
"nih_1891684","IMMU",0.280598958333333,"IMMU",0.317822437790404
"nih_1891687","IMMU",0.301575963718821,"IMMU",0.416862562750673
"nih_1891728","IMMU",0.34761316872428,"IMMU",0.372399836993758
"nih_1891737","IMMU",0.310534979423868,"IMMU",0.332906822695884
"nih_1892179","BIOC",0.402390207783794,"OTHER",0.227141397383163
"nih_1892568","BIOC",0.277104591836735,"CHEM",0.170347241768769
"nih_1892987","BIOC",0.397731481481481,"MULT",0.193868733349186
"nih_1893214","BIOC",0.258209041507689,"MULT",0.190572423356894
"nih_1893416","NEUR",0.225878393134723,"NEUR",0.424954420410072
"nih_1893611","IMMU",0.446005917159763,"IMMU",0.590225972538381
"nih_1893645","BIOC",0.59912109375,"MULT",0.270849911980517
"nih_1893646","BIOC",0.399356919789612,"CENG",0.19570823694414
"nih_1893649","BIOC",0.536860879904875,"MEDI",0.388060751937149
"nih_1893656","BIOC",0.728085351787774,"AGRI",0.346940642886293
"nih_1893657","BIOC",0.549444444444444,"BIOC",0.202507012062003
"nih_1893664","OTHER",0.230399318237156,"OTHER",0.247571472972055
"nih_1893671","BIOC",0.262586805555556,"NEUR",0.423533296518025
"nih_1893677","BIOC",0.354079918182482,"OTHER",0.260337041517719
"nih_1893684","BIOC",0.653139091224419,"MULT",0.308817272722193
"nih_1893686","BIOC",0.536078238001315,"BIOC",0.171044959458625
"nih_1893689","BIOC",0.640151515151515,"BIOC",0.249440693220891
"nih_1893697","BIOC",0.3427734375,"MULT",0.247032452142966
"nih_1893704","BIOC",0.331205733322135,"AGRI",0.416793188674263
